,300,500,550,600
9.9972,971,868,836,795
10.0232,1012.5833,885.8214,830.0595,803.9107
10.0492,1008.0992,843.8533,858.4245,853.0078
10.0752,971.1311,857.5535,906.5414,842.3572
10.1012,968.0794,884.8887,887.8335,864.0871
10.1272,1025.9737,889.8016,791.0108,869.7519
10.1532,1034.6428,934.2019,881.9275,896.3331
10.1792,1071.2912,1013.3046,896.3749,922.1941
10.2052,1083.2062,988.6195,931.9836,877.0483
10.2312,1079.4465,940.465,939.5535,928.5527
10.2572,1088.0078,1033.2839,976.9319,943.0078
10.2832,1181.6489,1075.1799,1056.7226,1003.6873
10.3092,1178.0242,1100.1424,1050.1432,1068.2606
10.3352,1274.4241,1155.2606,1176.9095,1140.4547
10.3612,1367.359,1330.9121,1369.9397,1272.2745
10.3872,1539.1679,1549.5122,1574.1912,1541.3915
10.4132,1697.3927,1572.9051,1535.1768,1457.131
10.4392,1448.4955,1275.8811,1245.1702,1168.64
10.4652,1179.4364,974.5088,959.0084,928.5425
10.4912,1063.213,950.4017,918.7377,895.3033
10.5172,1034.1751,884.8602,853.6695,840.8912
10.5432,1042.0828,910.5397,845.7079,804.8343
10.5692,969.9559,884.478,851.9085,816.1976
10.5952,1041.6144,846.2157,925.548,852.6433
10.6212,995.861,851.7136,882.2415,877.9992
10.6472,954.9534,853.7442,907.8685,819.8368
10.6732,970.5186,835.9335,868.0905,782.6756
10.6992,1025.5864,818.2864,821.1803,831.1752
10.7252,1033.6117,852.2753,815.3331,795.3925
10.7512,1004.3589,834.2364,868.2822,786.8206
10.7772,951.1578,870.1632,859.5021,826.4142
10.8032,988.3927,869.5353,890.6217,801.5327
10.8292,987.748,898.2192,858.131,803.7921
10.8552,1007.6105,919.3628,811.8054,831.1592
10.8812,974.6272,913.0483,806.3011,798.2536
10.9072,976.7615,884.8494,859.2594,797.887
10.9332,993.5712,883.5703,844.861,835.9975
10.9592,989.3041,877.9754,833.3917,842.1398
10.9852,1033.9673,900.2788,848.7213,823.918
11.0112,996.1797,877.54,852.1609,846.6515
11.0372,994.4082,861.0466,826.8757,831.0197
11.0632,981.2566,869.3727,860.2344,815.1182
11.0892,959.8326,888.4979,860.754,836.3314
11.1152,955.9732,849.9727,807.7596,843.9866
11.1412,952.8171,843.5514,825.4393,829.7316
11.1672,972.1584,855.8231,851.572,833.1769
11.1932,980.0207,812.2984,840.39,821.8006
11.2192,1003.2835,805.3461,848.4086,812.0048
11.2452,1020.6678,827.6661,842.1457,816.3814
11.2712,1000.1272,842.3038,836.8176,841.7456
11.2972,973.3951,885.2486,828.8524,869.5117
11.3232,993.0955,869.5796,842.6015,834.4468
11.3492,1025.0638,850.0424,874.0638,792.6436
11.3752,994.0788,870.5694,863.94,771.88
11.4012,958.7506,865.0345,888.4221,797.6344
11.4272,969.0825,865.6402,862.9475,827.5577
11.4532,1016.2159,913.9882,808.2175,819.441
11.4792,1014.467,941.8604,825.5737,836.5246
11.5052,951.9628,890.8206,816.6696,844.7352
11.5312,951.925,883.9771,838.7542,842.9291
11.5572,1003.7543,884.8051,852.9068,801.4322
11.5832,1035.9736,869.5524,841.3947,791.0527
11.6092,1003.301,821.7775,851.2356,826.4712
11.6352,987.4987,834.2536,858.1272,848.1272
11.6612,966.8971,816.6497,846.0949,830.9853
11.6872,955.9904,856.7298,847.2899,803.7621
11.7132,1017.4072,897.6375,837.7169,777.699
11.7392,995.2903,873.4138,828.3689,797.6648
11.7652,978.3736,895.1691,838.723,809.686
11.7912,970.9003,863.3398,849.768,865.0132
11.8172,962,830.1925,863.2302,895.0126
11.8432,972.9341,833.1345,816.8865,827.3879
11.8692,998.7144,823.9949,827.8534,830.7203
11.8952,995.2433,858.9621,831.8057,807.4052
11.9212,992.5177,860.307,793.0355,825.9153
11.9472,1001.6742,832.6049,827.4656,792.1165
11.9732,982.9015,848.9509,834.8358,798.8851
11.9992,957.5958,862.2477,797.5422,783.4393
12.0252,958.7661,873.5133,878.5824,815.3564
12.0512,945.023,867.5937,870.8156,812.8675
12.0772,981.2881,866.0706,827.3305,789.887
12.1032,965.6259,829.6925,838.5038,803.3555
12.1292,970.6231,850.9499,816.3727,810.7635
12.1552,1018.588,840.5884,822.7641,801.7058
12.1812,1010.3465,836.4979,847.4979,810.9949
12.2072,933.2528,852.7585,847.4717,842.7226
12.2332,942.3469,874.9069,790.2677,849.3597
12.2592,952.8545,880.3929,851.0941,835.2308
12.2852,935.4099,847.9173,852.7997,840.0827
12.3112,956.7935,869.7537,815.9478,827.9502
12.3372,989.4692,878.6133,813.5636,883.8273
12.3632,957.3791,845.3975,855.9231,851.5238
12.3892,936.0502,876.5643,820.2658,869.8583
12.4152,965.9149,872.9267,844.7723,815.3822
12.4412,941.673,883.327,854.8076,810.2883
12.4672,949.6229,872.5655,864.4507,838.2129
12.4932,927.7119,848.5729,838.383,779.5119
12.5192,941.9249,840.9384,825.9625,848.9114
12.5452,941.2979,865.9113,826.2979,820.8619
12.5712,987.0708,897.2393,871.5046,815.5754
12.5972,991.2564,854.697,843.8835,792.3652
12.6232,1023.929,816.084,829.0323,838.8988
12.6492,957.809,820.9396,819.1208,802.4468
12.6752,899.2979,877.7241,834.648,794.176
12.7012,927.0424,878.0319,850.4893,853.0529
12.7272,972.0753,871.2929,819.3808,818.59
12.7532,1013.8259,813.1576,806.6212,836.9129
12.7792,900.5875,852.2241,882.9417,815.4805
12.8052,947.7751,844.7877,881.5013,806.5729
12.8312,936.386,882.5757,825.8919,832.6356
12.8572,905.9265,875.0974,871.8786,821.3718
12.8832,981.1803,916.2353,882.3917,802.9261
12.9092,947.3423,892.5615,851.0067,777.0051
12.9352,970.9997,918.8785,827.6669,788.0605
12.9612,935.9014,837.852,844.9837,867.3283
12.9872,990.1254,851.627,807.6301,833.4765
13.0132,992.3589,876.3763,844.2996,827.698
13.0392,928.9073,897.6209,824.31,848.9773
13.0652,936.9,866.1749,831.4375,752.6707
13.0912,931.1691,844.2536,838.9155,835.2249
13.1172,962.1823,859.6144,790.6313,815.9152
13.1432,941.2216,816.0359,806.1796,774.8234
13.1692,901.6314,847.4213,810.6316,819.8951
13.1952,944.4507,894.08,859.1121,766.9581
13.2212,925.9057,850.8952,830.6701,791.0995
13.2472,938.0316,899.5755,809.6432,838.187
13.2732,926.2553,878.7616,782.2569,845.2511
13.2992,951.8143,828.7465,820.6116,838.0811
13.3252,947.6712,861.2566,838.4599,834.5401
13.3512,993.8416,887.3603,804.4389,830.3999
13.3772,953.6415,844.8435,805.202,819.7687
13.4032,918.4973,866.6103,835.5062,831.4039
13.4292,960.2471,848.1067,870.1589,822.1241
13.4552,932.6963,859.2133,851.7457,836.0903
13.4812,918.0449,845.1836,793.0825,831.251
13.5072,926.6234,843.2283,807.9874,835.2283
13.5332,920.5426,852.9034,807.483,805.8694
13.5592,942.2664,871.6567,821.3445,818.3916
13.5852,926.7254,881,858.9674,812.6633
13.6112,909,867.3424,864.9296,809.5536
13.6372,940.1547,885.8786,850.226,806.8368
13.6632,952.1876,878.3608,857.221,815.4229
13.6892,944.6359,839.5408,871.3193,839.1848
13.7152,942.4189,873.9755,838.3901,839.7022
13.7412,968.2746,860.3066,852.5543,863.273
13.7672,988.5613,836.4704,879.0711,848.9565
13.7932,962.5355,839.2812,860.011,855.286
13.8192,928.0059,815.6745,831.8402,869.3816
13.8452,940.3859,851.4924,863.6459,825.6416
13.8712,954.7411,891.3058,871.7054,801.651
13.8972,961.2797,845.556,833.7902,820.8613
13.9232,954.4359,858.6818,811.955,818.4394
13.9492,947.8034,860.8354,847.6891,824.115
13.9752,942.6521,838.3951,850.2932,863.4204
14.0012,945.2384,881.3272,801.8318,854.0419
14.0272,920.4855,893.0759,826.254,837.9372
14.0532,886.1539,881.1491,841.0534,825.8728
14.0792,957.662,868.4422,833.8642,806.2659
14.1052,985.4698,872.0259,838.2709,843.317
14.1312,949.2671,852.3482,855.8506,855.2176
14.1572,927.4914,817.5254,842.9942,794.5818
14.1832,889.5724,817.6226,829.0684,758.7355
14.2092,906.1626,837.5257,857.6672,809.8442
14.2352,960.7505,860.3827,794.1987,834.7907
14.2612,966.7718,850.936,789.6913,811.2266
14.2872,930.7167,833.6372,804.1859,808.7602
14.3132,929.4718,821.7073,781.9435,867.763
14.3392,919.8884,821.2355,771.0082,878.2521
14.3652,932.0025,853.3389,824.6602,882.9722
14.3912,921.7993,835.4762,840.3231,903.4386
14.4172,910.8075,835.3962,839.7472,818.0227
14.4432,910.5493,852.6639,839.4263,832.1146
14.4692,911.6124,836.1991,847.0535,804.9057
14.4952,896.086,837.9587,863.9045,791.2198
14.5212,917.8293,874.6655,889.8972,811.1794
14.5472,930.1088,833.8158,859.2303,819.0167
14.5732,944.8786,882.3125,809.5808,850.2978
14.5992,950.5248,875.4998,824.7812,850.4937
14.6252,892.3781,816.6368,841.1093,827.0796
14.6512,926.1213,826.2542,889.7591,832.8938
14.6772,965.0952,843.3538,829.786,789.9916
14.7032,909.1219,861.795,824.7147,809.7553
14.7292,943.6777,889.9047,818.6777,797.3113
14.7552,974.3679,845.9736,859.8683,791.7636
14.7812,911.9085,848.5035,863.9525,831.5141
14.8072,906.7668,893.9595,935.1926,817.63
14.8332,938.5681,848.1545,856.3507,833.9346
14.8592,976.5313,853.3359,813.6249,843.0626
14.8852,951.0196,878.1924,845.1728,804.8267
14.9112,912.0177,873.7481,869.1323,832.476
14.9372,870.1152,880.4919,851.2952,886.7205
14.9632,927.9355,889.4838,859.9838,790.7419
14.9892,948.9186,866.6712,788.3154,785.2205
15.0152,910.17,853.15,840.0199,832.4501
15.0412,910.7238,844.7507,851.3003,808.0029
15.0672,893.3061,851.0031,853.5015,844.6091
15.0932,870.215,809.1046,833.6568,841.4853
15.1192,890.1845,829.8575,859.78,883.5469
15.1452,874.2738,866.2401,813.1062,872.1247
15.1712,909.993,790.7963,818.2915,821.3055
15.1972,947.0987,783.8236,905.3629,832.6737
15.2232,889.9326,836.264,865.219,812.219
15.2492,878.0517,882.7976,903.8321,850.8321
15.2752,896.7297,895.815,833.0244,807.626
15.3012,915.5411,910.6377,823.2174,780.6521
15.3272,943.046,854.9762,851.0119,803.1823
15.3532,907.6718,885.5042,901.7123,834.5922
15.3792,851.1272,889.8382,895.4853,812.3479
15.4052,903.2335,824.4688,860.3621,822.2339
15.4312,915.3361,841.3035,872.8198,823
15.4572,872.9332,791.6863,838.2637,864.2342
15.4832,946.0434,860.4179,867.6302,798.2077
15.5092,850.0093,879.6541,853.0706,784.7247
15.5352,880.5543,831.3533,897.9871,830.9871
15.5612,948.2405,856.5586,848.7725,891.3508
15.5872,918.865,861.8667,834.9331,820.9966
15.6132,871.0177,832.8694,819.4347,775.5855
15.6392,936.8299,831.3874,845.7932,776.7749
15.6652,945.8153,874.6838,836.7721,798.0865
15.6912,988.8318,822.6279,845.5782,837.5616
15.7172,967.7676,869.6478,807.1454,855.6222
15.7432,911.7626,813.5833,796.3857,889.4796
15.7692,931.0927,868.7523,804.7697,865.1101
15.7952,898.8464,906.6831,850.3029,832.5929
15.8212,912.0995,856.8043,850.3389,847.7673
15.8472,908.2553,843.3024,848.535,812.556
15.8732,926.9692,776.5773,831.5761,828.7872
15.8992,916.8044,866.3979,834.9716,832.7665
15.9252,877.8029,866.3766,864.5577,800.7537
15.9512,934.4124,879.2005,887.828,848.2234
