#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  -.133480855242047E+01  0.169080599889341E-08  -.749171106363272E+00  0.948977288570458E-09
     0.100000000000000E-02  -.133480863056620E+01  0.214102276123503E-04  -.749171062310661E+00  0.120166461299053E-04
     0.200000000000000E-02  -.133480886500350E+01  0.428187876400506E-04  -.749170930152864E+00  0.240323478554591E-04
     0.300000000000000E-02  -.133480925573263E+01  0.642273941104783E-04  -.749170709889828E+00  0.360480587270958E-04
     0.400000000000000E-02  -.133480980275398E+01  0.856360702451952E-04  -.749170401521478E+00  0.480637833180034E-04
     0.500000000000000E-02  -.133481050606816E+01  0.107044839266039E-03  -.749170005047693E+00  0.600795262014315E-04
     0.600000000000000E-02  -.133481136567590E+01  0.128453724395215E-03  -.749169520468329E+00  0.720952919507130E-04
     0.700000000000000E-02  -.133481238157812E+01  0.149862748855386E-03  -.749168947783209E+00  0.841110851392849E-04
     0.800000000000000E-02  -.133481355377591E+01  0.171271935869769E-03  -.749168286992118E+00  0.961269103407082E-04
     0.900000000000000E-02  -.133481488227050E+01  0.192681308662221E-03  -.749167538094811E+00  0.108142772128689E-03
     0.100000000000000E-01  -.133481636706334E+01  0.214090890457333E-03  -.749166701091006E+00  0.120158675077098E-03
     0.110000000000000E-01  -.133481800815597E+01  0.235500704480527E-03  -.749165775980403E+00  0.132174623759998E-03
     0.120000000000000E-01  -.133481980555016E+01  0.256910773958139E-03  -.749164762762651E+00  0.144190622751653E-03
     0.130000000000000E-01  -.133482175924783E+01  0.278321122117516E-03  -.749163661437377E+00  0.156206676626558E-03
     0.140000000000000E-01  -.133482386925104E+01  0.299731772187111E-03  -.749162472004172E+00  0.168222789959456E-03
     0.150000000000000E-01  -.133482613556206E+01  0.321142747396566E-03  -.749161194462594E+00  0.180238967325362E-03
     0.160000000000000E-01  -.133482855818330E+01  0.342554070976812E-03  -.749159828812170E+00  0.192255213299580E-03
     0.170000000000000E-01  -.133483113711732E+01  0.363965766160156E-03  -.749158375052397E+00  0.204271532457725E-03
     0.180000000000000E-01  -.133483387236689E+01  0.385377856180375E-03  -.749156833182734E+00  0.216287929375744E-03
     0.190000000000000E-01  -.133483676393491E+01  0.406790364272814E-03  -.749155203202604E+00  0.228304408629938E-03
     0.200000000000000E-01  -.133483981182447E+01  0.428203313674457E-03  -.749153485111409E+00  0.240320974796979E-03
     0.210000000000000E-01  -.133484301603882E+01  0.449616727624051E-03  -.749151678908511E+00  0.252337632453938E-03
     0.220000000000000E-01  -.133484637658135E+01  0.471030629362171E-03  -.749149784593239E+00  0.264354386178297E-03
     0.230000000000000E-01  -.133484989345567E+01  0.492445042131321E-03  -.749147802164890E+00  0.276371240547975E-03
     0.240000000000000E-01  -.133485356666551E+01  0.513859989176029E-03  -.749145731622732E+00  0.288388200141349E-03
     0.250000000000000E-01  -.133485739621478E+01  0.535275493742939E-03  -.749143572965991E+00  0.300405269537270E-03
     0.260000000000000E-01  -.133486138210757E+01  0.556691579080896E-03  -.749141326193872E+00  0.312422453315093E-03
     0.270000000000000E-01  -.133486552434812E+01  0.578108268441043E-03  -.749138991305542E+00  0.324439756054688E-03
     0.280000000000000E-01  -.133486982294085E+01  0.599525585076921E-03  -.749136568300132E+00  0.336457182336465E-03
     0.290000000000000E-01  -.133487427789033E+01  0.620943552244542E-03  -.749134057176743E+00  0.348474736741395E-03
     0.300000000000000E-01  -.133487888920132E+01  0.642362193202500E-03  -.749131457934444E+00  0.360492423851032E-03
     0.310000000000000E-01  -.133488365687872E+01  0.663781531212048E-03  -.749128770572274E+00  0.372510248247530E-03
     0.320000000000000E-01  -.133488858092762E+01  0.685201589537208E-03  -.749125995089231E+00  0.384528214513668E-03
     0.330000000000000E-01  -.133489366135326E+01  0.706622391444839E-03  -.749123131484291E+00  0.396546327232871E-03
     0.340000000000000E-01  -.133489889816106E+01  0.728043960204754E-03  -.749120179756387E+00  0.408564590989222E-03
     0.350000000000000E-01  -.133490429135659E+01  0.749466319089796E-03  -.749117139904429E+00  0.420583010367498E-03
     0.360000000000000E-01  -.133490984094561E+01  0.770889491375934E-03  -.749114011927284E+00  0.432601589953173E-03
     0.370000000000000E-01  -.133491554693403E+01  0.792313500342366E-03  -.749110795823794E+00  0.444620334332458E-03
     0.380000000000000E-01  -.133492140932794E+01  0.813738369271589E-03  -.749107491592761E+00  0.456639248092302E-03
     0.390000000000000E-01  -.133492742813356E+01  0.835164121449512E-03  -.749104099232970E+00  0.468658335820439E-03
     0.400000000000000E-01  -.133493360335732E+01  0.856590780165538E-03  -.749100618743152E+00  0.480677602105373E-03
     0.410000000000000E-01  -.133493993500581E+01  0.878018368712660E-03  -.749097050122021E+00  0.492697051536433E-03
     0.420000000000000E-01  -.133494642308579E+01  0.899446910387561E-03  -.749093393368246E+00  0.504716688703772E-03
     0.430000000000000E-01  -.133495306760414E+01  0.920876428490672E-03  -.749089648480477E+00  0.516736518198398E-03
     0.440000000000000E-01  -.133495986856797E+01  0.942306946326330E-03  -.749085815457319E+00  0.528756544612198E-03
     0.450000000000000E-01  -.133496682598453E+01  0.963738487202792E-03  -.749081894297352E+00  0.540776772537941E-03
     0.460000000000000E-01  -.133497393986121E+01  0.985171074432386E-03  -.749077884999123E+00  0.552797206569326E-03
     0.470000000000000E-01  -.133498121020562E+01  0.100660473133159E-02  -.749073787561137E+00  0.564817851300973E-03
     0.480000000000000E-01  -.133498863702551E+01  0.102803948122110E-02  -.749069601981877E+00  0.576838711328470E-03
     0.490000000000000E-01  -.133499622032880E+01  0.104947534742597E-02  -.749065328259787E+00  0.588859791248378E-03
     0.500000000000000E-01  -.133500396012356E+01  0.107091235327564E-02  -.749060966393280E+00  0.600881095658254E-03
     0.510000000000000E-01  -.133501185641805E+01  0.109235052210410E-02  -.749056516380742E+00  0.612902629156693E-03
     0.520000000000000E-01  -.133501990922069E+01  0.111378987724991E-02  -.749051978220515E+00  0.624924396343302E-03
     0.530000000000000E-01  -.133502811854008E+01  0.113523044205638E-02  -.749047351910914E+00  0.636946401818772E-03
     0.540000000000000E-01  -.133503648438496E+01  0.115667223987157E-02  -.749042637450221E+00  0.648968650184865E-03
     0.550000000000000E-01  -.133504500676425E+01  0.117811529404843E-02  -.749037834836688E+00  0.660991146044452E-03
     0.560000000000000E-01  -.133505368568705E+01  0.119955962794492E-02  -.749032944068523E+00  0.673013894001524E-03
