Frequency (cm-1),Symmetry
-56.9,A
-27.2,A
-25.9,E
-25.9,E*
-5.6,A
27.8,E
27.8,E*
38.9,E
38.9,E*
47.6,A
47.9,E
47.9,E*
50.4,A
50.4,E
50.4,E*
56.6,A
57.3,E
57.3,E*
60.0,A
62.9,E
62.9,E*
67.6,E
67.6,E*
68.8,A
76.4,A
76.6,E
76.6,E*
83.3,E
83.3,E*
85.9,A
97.8,E
97.8,E*
106.4,A
109.7,E
109.7,E*
115.4,A
119.3,A
121.7,E
121.7,E*
132.0,A
134.9,E
134.9,E*
135.6,A
145.1,E
145.1,E*
148.9,A
162.1,E
162.1,E*
163.3,A
168.6,E
168.6,E*
172.0,A
173.9,E
173.9,E*
182.4,A
189.1,E
189.1,E*
194.8,A
206.4,A
211.4,E
211.4,E*
240.9,E
240.9,E*
244.0,A
251.3,E
251.3,E*
253.0,A
319.9,E
319.9,E*
371.6,A
376.8,E
376.8,E*
386.1,E
386.1,E*
404.1,A
418.0,A
430.2,E
430.2,E*
433.0,E
433.0,E*
441.1,A
515.5,E
515.5,E*
518.7,A
522.3,A
523.6,E
523.6,E*
537.3,E
537.3,E*
540.7,A
541.7,E
541.7,E*
546.2,A
552.9,A
555.0,E
555.0,E*
558.4,A
560.9,E
560.9,E*
891.1,A
895.2,E
895.2,E*
906.2,E
906.2,E*
910.7,A
912.1,E
912.1,E*
927.3,A
930.7,E
930.7,E*
945.5,A
949.6,E
949.6,E*
956.4,E
956.4,E*
958.5,A
973.4,A
975.5,E
975.5,E*
994.5,A
1002.3,E
1002.3,E*
1034.2,A
